year,series,value
2012,東ヨーロッパ・中央アジア,130000
2013,東ヨーロッパ・中央アジア,130000
2014,東ヨーロッパ・中央アジア,130000
2015,東ヨーロッパ・中央アジア,130000
2016,東ヨーロッパ・中央アジア,140000
2017,東ヨーロッパ・中央アジア,140000
2018,東ヨーロッパ・中央アジア,140000
2019,東ヨーロッパ・中央アジア,140000
2020,東ヨーロッパ・中央アジア,140000
2021,東ヨーロッパ・中央アジア,140000
2022,東ヨーロッパ・中央アジア,140000
2023,東ヨーロッパ・中央アジア,140000
1990,中南米（ラテンアメリカ）,69000
1991,中南米（ラテンアメリカ）,77000
1992,中南米（ラテンアメリカ）,84000
1993,中南米（ラテンアメリカ）,91000
1994,中南米（ラテンアメリカ）,96000
1995,中南米（ラテンアメリカ）,100000
1996,中南米（ラテンアメリカ）,100000
1997,中南米（ラテンアメリカ）,100000
1998,中南米（ラテンアメリカ）,110000
1999,中南米（ラテンアメリカ）,110000
2000,中南米（ラテンアメリカ）,110000
2001,中南米（ラテンアメリカ）,110000
2002,中南米（ラテンアメリカ）,110000
2003,中南米（ラテンアメリカ）,110000
2004,中南米（ラテンアメリカ）,110000
2005,中南米（ラテンアメリカ）,110000
2006,中南米（ラテンアメリカ）,110000
2007,中南米（ラテンアメリカ）,110000
2008,中南米（ラテンアメリカ）,110000
2009,中南米（ラテンアメリカ）,110000
2010,中南米（ラテンアメリカ）,110000
2011,中南米（ラテンアメリカ）,110000
2012,中南米（ラテンアメリカ）,110000
2013,中南米（ラテンアメリカ）,110000
2014,中南米（ラテンアメリカ）,110000
2015,中南米（ラテンアメリカ）,110000
2016,中南米（ラテンアメリカ）,110000
2017,中南米（ラテンアメリカ）,110000
2018,中南米（ラテンアメリカ）,110000
2019,中南米（ラテンアメリカ）,110000
2020,中南米（ラテンアメリカ）,110000
2021,中南米（ラテンアメリカ）,120000
2022,中南米（ラテンアメリカ）,120000
2023,中南米（ラテンアメリカ）,120000
1990,中東・北アフリカ,6900
1991,中東・北アフリカ,7900
1992,中東・北アフリカ,8600
1993,中東・北アフリカ,9100
1994,中東・北アフリカ,9500
1995,中東・北アフリカ,10000
1996,中東・北アフリカ,10000
1997,中東・北アフリカ,9900
1998,中東・北アフリカ,10000
1999,中東・北アフリカ,10000
2000,中東・北アフリカ,10000
2001,中東・北アフリカ,10000
2002,中東・北アフリカ,10000
2003,中東・北アフリカ,10000
2004,中東・北アフリカ,10000
2005,中東・北アフリカ,10000
2006,中東・北アフリカ,10000
2007,中東・北アフリカ,10000
2008,中東・北アフリカ,11000
2009,中東・北アフリカ,11000
2010,中東・北アフリカ,11000
2011,中東・北アフリカ,11000
2012,中東・北アフリカ,11000
2013,中東・北アフリカ,11000
2014,中東・北アフリカ,11000
2015,中東・北アフリカ,12000
2016,中東・北アフリカ,12000
2017,中東・北アフリカ,13000
2018,中東・北アフリカ,14000
2019,中東・北アフリカ,15000
2020,中東・北アフリカ,16000
2021,中東・北アフリカ,18000
2022,中東・北アフリカ,20000
2023,中東・北アフリカ,23000
1990,西部・中部アフリカ,470000
1991,西部・中部アフリカ,510000
1992,西部・中部アフリカ,550000
1993,西部・中部アフリカ,570000
1994,西部・中部アフリカ,590000
1995,西部・中部アフリカ,590000
1996,西部・中部アフリカ,600000
1997,西部・中部アフリカ,590000
1998,西部・中部アフリカ,570000
1999,西部・中部アフリカ,550000
2000,西部・中部アフリカ,530000
2001,西部・中部アフリカ,500000
2002,西部・中部アフリカ,480000
2003,西部・中部アフリカ,460000
2004,西部・中部アフリカ,450000
2005,西部・中部アフリカ,430000
2006,西部・中部アフリカ,410000
2007,西部・中部アフリカ,390000
2008,西部・中部アフリカ,380000
2009,西部・中部アフリカ,360000
2010,西部・中部アフリカ,350000
2011,西部・中部アフリカ,340000
2012,西部・中部アフリカ,320000
2013,西部・中部アフリカ,300000
2014,西部・中部アフリカ,290000
2015,西部・中部アフリカ,280000
2016,西部・中部アフリカ,270000
2017,西部・中部アフリカ,260000
2018,西部・中部アフリカ,260000
2019,西部・中部アフリカ,250000
2020,西部・中部アフリカ,240000
2021,西部・中部アフリカ,220000
2022,西部・中部アフリカ,210000
2023,西部・中部アフリカ,190000
1990,西・中央ヨーロッパおよび北米,95000
1991,西・中央ヨーロッパおよび北米,91000
1992,西・中央ヨーロッパおよび北米,89000
1993,西・中央ヨーロッパおよび北米,86000
1994,西・中央ヨーロッパおよび北米,83000
1995,西・中央ヨーロッパおよび北米,81000
1996,西・中央ヨーロッパおよび北米,79000
1997,西・中央ヨーロッパおよび北米,78000
1998,西・中央ヨーロッパおよび北米,77000
1999,西・中央ヨーロッパおよび北米,77000
2000,西・中央ヨーロッパおよび北米,76000
2001,西・中央ヨーロッパおよび北米,77000
2002,西・中央ヨーロッパおよび北米,77000
2003,西・中央ヨーロッパおよび北米,77000
2004,西・中央ヨーロッパおよび北米,77000
2005,西・中央ヨーロッパおよび北米,77000
2006,西・中央ヨーロッパおよび北米,77000
2007,西・中央ヨーロッパおよび北米,77000
2008,西・中央ヨーロッパおよび北米,77000
2009,西・中央ヨーロッパおよび北米,76000
2010,西・中央ヨーロッパおよび北米,74000
2011,西・中央ヨーロッパおよび北米,72000
2012,西・中央ヨーロッパおよび北米,73000
2013,西・中央ヨーロッパおよび北米,71000
2014,西・中央ヨーロッパおよび北米,71000
2015,西・中央ヨーロッパおよび北米,70000
2016,西・中央ヨーロッパおよび北米,70000
2017,西・中央ヨーロッパおよび北米,68000
2018,西・中央ヨーロッパおよび北米,67000
2019,西・中央ヨーロッパおよび北米,64000
2020,西・中央ヨーロッパおよび北米,62000
2021,西・中央ヨーロッパおよび北米,59000
2022,西・中央ヨーロッパおよび北米,57000
2023,西・中央ヨーロッパおよび北米,56000
1990,世界,2500000
1991,世界,2800000
1992,世界,2900000
1993,世界,3000000
1994,世界,3200000
1995,世界,3300000
1996,世界,3300000
1997,世界,3200000
1998,世界,3000000
1999,世界,2900000
2000,世界,2800000
2001,世界,2800000
2002,世界,2700000
2003,世界,2600000
2004,世界,2600000
2005,世界,2500000
2006,世界,2400000
2007,世界,2300000
2008,世界,2300000
2009,世界,2200000
2010,世界,2100000
2011,世界,2100000
2012,世界,2000000
2013,世界,1900000
2014,世界,1900000
2015,世界,1800000
2016,世界,1800000
2017,世界,1700000
2018,世界,1600000
2019,世界,1500000
2020,世界,1500000
2021,世界,1400000
2022,世界,1400000
2023,世界,1300000
